owner_id,title,description,category,street,barangay,city,coordinates,image_url,rent,amenities,rating,max_renters,is_available,is_verified,has_internet,allows_pets,is_furnished,has_ac,is_secure,has_parking,number_reviews
15,House for Rent in East Balabag Valencia,2 Bedrooms with bathrooms each. One separate maid's quarters with bedroom and bathroom.,apartment,,East Balabag,Valencia,"9.290150580929053, 123.25629966312141","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",25000,{},NULL,1,true,true,false,NULL,true,true,true,true,0
16,Room For Rent in Bagacay,"3,200 is good for two people. Shared bathroom and kitchen. Payment: 1 month advance, 1 month deposit. Accessible location.",room,,Bagacay,Dumaguete,"9.301365807157755, 123.29361378366066","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",3200,{},NULL,4,true,false,true,NULL,true,false,NULL,true,0
17,1-Bedroom Apartment,"Maximum 3 persons. Parking for motorcycle only. Payment: 1 month advance, 1 month deposit. Lease term: 6-12 months. Accessible location.",apartment,,Magatas,Sibulan,"9.341943396272054, 123.27274681969449","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",5000,{},NULL,3,true,true,NULL,false,false,false,true,true,0
18,Studio Apartment for Rent,"Estanzia Subdivision, Block 3 Lot 6. Own electric and water submeters. Accessible location.",apartment,,Maslog,Sibulan,"9.342832890739205, 123.29506798244655","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room4.jpg""}",9500,{},NULL,1,true,false,false,false,false,false,true,NULL,0
19,Fully Furnished Apartment,"2 Bedrooms, 1 Bathroom. Accessible location.",apartment,,Bagacay,Dumaguete,"9.293452638249343, 123.29439140576574","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",15000,{},NULL,2,true,true,NULL,NULL,true,true,true,true,0
20,Apartment for Rent,"2 units (25,000) - 2 bedrooms with hot shower bathrooms each. 2 units (15,000) - 1 bedroom, 1 hot shower bathroom.",apartment,,Northern Junob,Dumaguete,"9.30795811622356, 123.28118741482493","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room4.jpg""}",15000,{},NULL,4,true,true,false,NULL,false,true,true,true,0
21,Room For Rent in Tubtubon,"Preference: single young professionals. Allowed to cook. No curfew. Payment: 1 month advance, 1 month deposit.",room,,Tubtubon,Sibulan,"9.345191547761102, 123.27851120736449","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",6000,{},NULL,1,true,true,true,NULL,true,false,NULL,true,0
22,Single Room for Rent,1 doubledeck bed with 2 single type mattress Accessible location.,room,,Bantayan,Dumaguete,"9.32689665899374, 123.30226517784264","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",7500,{},NULL,3,true,false,NULL,NULL,true,true,NULL,NULL,0
23,Room For Rent in Bagacay,"2 persons only. No visitors allowed. No curfew but always lock the gate. Free water, foam for bed, 2 gadegts unli wifi. Payment: 1 month advance, 1 month deposit.",room,,Bagacay,Dumaguete,"9.299549318630389, 123.29383301670705","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",4300,{},NULL,1,true,true,true,NULL,true,false,true,NULL,0
24,House for Rent in East Balabag Valencia,"30k per month - fully furnished with stove, fridge, AC, ceiling fan with dim lights, tables & chairs and Sofa. 25k for semi furnished Mattress and sofa not included, other specs above remain. Accessible location.",apartment,,West Boloc-boloc,Sibulan,"9.326920572895519, 123.27639207043995","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",25000,{},NULL,4,true,false,false,NULL,true,true,true,true,0
